run_id,log,arm,model,step,reward,K_train,invalid,gen_len,p_model,mean_K,slope,k_at_p_lo,k_at_p_hi,p_lo,p_hi
evidential_cot_kl01,results/run_cot_kl01.log,evidential,Qwen/Qwen2.5-3B-Instruct,40,79.20,0.44,0.00,128.0,,0.594,+0.00,0.75,0.75,0.50,0.99
evidential_cot_kl01,results/run_cot_kl01.log,evidential,Qwen/Qwen2.5-3B-Instruct,60,73.32,0.16,0.00,128.0,,0.453,+0.12,0.50,0.62,0.50,0.99
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,0,,,,,,1.000,+0.00,1.00,1.00,0.80,0.80
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,1,100.00,1.00,0.00,2.0,1.000,,,,,,
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,15,100.00,1.00,0.00,2.0,1.000,1.000,+0.00,1.00,1.00,0.80,0.80
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,30,100.00,1.00,0.00,2.0,1.000,1.000,+0.00,1.00,1.00,0.80,0.80
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,45,100.00,1.00,0.00,2.0,1.000,1.000,+0.00,1.00,1.00,0.80,0.80
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,60,100.00,1.00,0.00,2.0,1.000,1.000,+0.00,1.00,1.00,0.80,0.80
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,75,100.00,1.00,0.00,2.0,1.000,1.000,+0.00,1.00,1.00,0.80,0.80
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,90,100.00,1.00,0.00,2.0,1.000,1.000,+0.00,1.00,1.00,0.80,0.80
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,105,100.00,1.00,0.00,2.0,1.000,1.000,+0.00,1.00,1.00,0.80,0.80
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,120,100.00,1.00,0.00,2.0,1.000,1.000,+0.00,1.00,1.00,0.80,0.80
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,135,100.00,1.00,0.00,2.0,1.000,1.000,+0.00,1.00,1.00,0.80,0.80
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,150,100.00,1.00,0.00,2.0,1.000,1.000,+0.00,1.00,1.00,0.80,0.80
evidential_modelpred,results/run_modelpred_3b.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,0,,,,,,0.856,+0.05,0.85,0.90,0.50,0.99
evidential_modelpred,results/run_modelpred_3b.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,1,112.15,0.52,0.00,2.0,0.516,,,,,,
evidential_modelpred,results/run_modelpred_3b.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,25,48.29,0.98,0.00,2.0,0.459,0.806,+0.20,0.70,0.90,0.50,0.99
evidential_modelpred,results/run_modelpred_3b.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,50,93.29,0.50,0.00,2.0,0.864,0.550,-0.25,0.75,0.50,0.50,0.99
evidential_modelpred,results/run_modelpred_3b.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,75,80.84,0.62,0.00,2.0,0.957,0.531,-0.20,0.70,0.50,0.50,0.99
evidential_modelpred,results/run_modelpred_3b.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,100,96.43,0.75,0.00,2.0,0.826,0.556,-0.05,0.65,0.60,0.50,0.99
evidential_modelpred,results/run_modelpred_3b.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,125,101.15,0.88,0.00,2.0,0.835,0.750,-0.05,0.80,0.75,0.50,0.99
evidential_modelpred,results/run_modelpred_3b.log,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,150,110.24,0.25,0.00,2.0,0.593,0.719,+0.05,0.75,0.80,0.50,0.99
evidential_paired_cot,results/run_paired_cot.log,evidential,Qwen/Qwen2.5-3B-Instruct,0,,,,,,0.710,+0.07,0.67,0.73,0.50,0.99
evidential_paired_cot,results/run_paired_cot.log,evidential,Qwen/Qwen2.5-3B-Instruct,1,79.17,0.73,0.03,128.0,,,,,,,
evidential_paired_cot,results/run_paired_cot.log,evidential,Qwen/Qwen2.5-3B-Instruct,20,78.50,0.80,0.00,128.0,,0.692,+0.00,0.73,0.73,0.50,0.99
evidential_paired_cot,results/run_paired_cot.log,evidential,Qwen/Qwen2.5-3B-Instruct,40,83.50,0.73,0.00,128.0,,0.797,-0.07,0.87,0.80,0.50,0.99
evidential_paired_cot,results/run_paired_cot.log,evidential,Qwen/Qwen2.5-3B-Instruct,60,70.63,0.70,0.07,128.0,,0.575,+0.17,0.50,0.67,0.50,0.99
evidential_modelpred_r1_kl0,results/run_r1_kl0.log,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,,,,,,0.625,+0.25,0.50,0.75,0.50,0.99
evidential_modelpred_r1_kl0,results/run_r1_kl0.log,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,99.75,1.00,0.00,2007.6,0.998,,,,,,
evidential_modelpred_r1_kl0,results/run_r1_kl0.log,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,10,67.50,0.44,0.06,1868.1,0.500,0.625,+0.50,0.50,1.00,0.50,0.99
evidential_modelpred_r1_kl0,results/run_r1_kl0.log,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,20,80.78,0.50,0.00,1679.8,0.617,0.500,+0.75,0.25,1.00,0.50,0.99
evidential_modelpred_r1_kl0,results/run_r1_kl0.log,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,122.60,0.19,0.00,1812.3,0.074,0.500,+0.25,0.25,0.50,0.50,0.99
